Measurement Unit ----->,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,s,s,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA
FXGL,D42,C39YR033N2QT,D42-CARRIERMINI,D42-CARRIERMINI_2M4B,000316,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:30:36,2019-07-05 20:31:18,500.10.17-17A95220h,,,,,43.203451,,,5,136811,1476093,1612904,,,,,,,,,,,,,,,,38.9,47.9,47.06,48.64,54.67,45.63,67.53,72.34,72.17,61.85,62.71,26.2,26.41,26.34,26.31,26.53,25.97,28.71,29.2,28.62,28.81,28.9,487788544
FXGL,D42,C39YR05EN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M22BJ,000881,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:18:29,2019-07-05 09:19:05,500.10.17-17A95220i,,,,,36.980745,,,5,121847,1312607,1434454,,,,,,,,,,,,,,,,37.9,46.87,45.63,47.53,53.28,44.51,63.92,67.78,67.95,58.42,59.79,27.89,28.48,28.5,28.55,28.77,28.27,30.67,30.37,30.46,30.46,30.46,487657472
FXGL,D42,C39YR05EN2QM,D42-CARRIERMINI,D42-CARRIERMINI_3M22BJ,000881,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:34:43,2019-07-05 20:35:17,500.10.17-17A95220h,,,,,34.620539,,,5,123846,1325256,1449102,,,,,,,,,,,,,,,,38.7,47.14,46.4,47.68,53.53,45.13,64.43,68.73,69.15,58.67,59.96,26,26.58,26.61,26.64,26.91,26.37,27.93,27.84,27.73,27.93,27.84,487788544
FXGL,D42,C39YV001N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006072,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:17:31,2019-07-05 09:18:11,500.10.17-17A95220i,,,,,40.526998,,,5,78639,403373,482012,,,,,,,,,,,,,,,,36.2,46.75,45.59,47.02,54.03,44.36,61.68,65.81,65.37,56.78,57.56,27.29,27.81,27.97,28.01,28.53,27.97,27.34,27.45,26.95,27.73,27.06,487657472
FXGL,D42,C39YV004N2R2,D42-CARRIER,D42-CARRIER_2G31RX,006075,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:15:27,2019-07-05 09:16:04,500.10.17-17A95220i,,,,,37.831437,,,5,71013,618588,689601,,,,,,,,,,,,,,,,39.7,49.9,48.74,50.59,57.67,47.45,65.89,69.32,69.15,60.14,61.17,28.39,29.15,29.32,29.58,29.99,29.12,29.4,28.9,28.81,29.01,29.01,487657472
FXGL,D42,C39YV00DN2R2,D42-CARRIER,D42-CARRIER_2G31RX,006084,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:16:23,2019-07-05 09:17:06,500.10.17-17A95220i,,,,,44.088201,,,5,77655,635260,712915,,,,,,,,,,,,,,,,39.4,48.79,47.41,48.43,55.33,45.84,64.6,67.78,68.56,58.76,59.45,28.1,28.81,28.63,28.37,28.74,28.48,29.4,28.32,28.71,29.1,28.32,487657472
FXGL,D42,C39YV01CN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006501,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:13:15,2019-07-05 09:13:52,500.10.17-17A95220i,,,,,37.135206,,,5,55947,542895,598842,,,,,,,,,,,,,,,,39.29,48.56,47.21,48.64,55.91,45.49,65.2,69.76,69.59,59.1,61,28.6,28.88,29.02,29.02,29.57,28.7,29.89,30.28,29.68,29.01,29.68,487788544
FXGL,D42,C39YV01CN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006501,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:31:35,2019-07-05 20:32:16,500.10.17-17A95220h,,,,,41.173603,,,5,57982,554833,612815,,,,,,,,,,,,,,,,36.5,46.23,44.65,46.28,53.5,42.99,62.37,66.84,66.92,56.53,58.15,23.89,24.16,24.31,24.36,24.8,23.98,25.78,26.17,25.78,25.29,25.98,487657472
FXGL,D42,C39YV01JN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006507,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 20:34:51,2019-07-05 20:35:27,500.10.17-17A95220h,,,,,36.493848,,,5,52774,559116,611890,,,,,,,,,,,,,,,,38.9,46.7,45.77,47.02,54.1,44.51,62.71,67.43,67.7,57.04,58.15,25.89,26.08,26.46,26.47,27.01,26.2,26.56,26.56,26.28,26.46,26.28,437391360
FXGL,D42,C39YV01MN2RT,D42-CARRIER,D42-CARRIER_1G36RX,006510,FXGL_C03-5F-BIR_3_LOG-COLLECTION,PASS,2019-07-05 09:16:11,2019-07-05 09:16:57,500.10.17-17A95220i,,,,,47.151182,,,5,69350,487125,556475,,,,,,,,,,,,,,,,37.9,46.49,44.62,45.7,53.65,42.78,61.68,65.54,65.98,56.95,57.64,27.5,27.74,27.84,27.6,28.64,27.43,28.03,28.12,28.32,28.81,28.23,437391360
