Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime
FXGL,D43,G6TYV01MN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000396,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:45:21,2019-07-05 01:45:32
FXGL,D43,G6TYV01PN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000867,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:02:13,2019-07-05 04:02:24
FXGL,D43,G6TYV01PN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000394,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 02:10:32,2019-07-05 02:10:40
FXGL,D43,G6TYV01PN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000394,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:12:12,2019-07-05 02:12:19
FXGL,D43,G6TYV01PN39T,D43-CRBMINI,D43-CRBMINI_7M3B1,000557,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:03:46,2019-07-05 04:03:56
FXGL,D43,G6TYV01QN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000868,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:20:14,2019-07-05 00:20:25
FXGL,D43,G6TYV01RN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000869,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:29:35,2019-07-05 05:29:47
FXGL,D43,G6TYV01SN39M,D43-CRBMINI,D43-CRBMINI_PDFC2,000391,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:39:11,2019-07-05 05:39:22
FXGL,D43,G6TYV01UN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000872,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:29:15,2019-07-05 02:29:25
FXGL,D43,G6TYV021N39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000599,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:20:08,2019-07-05 00:20:19
FXGL,D43,G6TYV022N39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000600,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:19:39,2019-07-05 02:19:50
FXGL,D43,G6TYV027N38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000885,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:06:55,2019-07-05 03:07:06
FXGL,D43,G6TYV028N39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000606,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 02:24:32,2019-07-05 02:24:43
FXGL,D43,G6TYV029N39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000607,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:07:19,2019-07-05 03:07:30
FXGL,D43,G6TYV02CN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000610,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:54:45,2019-07-05 00:54:56
FXGL,D43,G6TYV02HN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000615,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:20:00,2019-07-05 01:20:11
FXGL,D43,G6TYV02JN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000616,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:30,2019-07-05 03:29:09
FXGL,D43,G6TYV02MN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000619,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:20,2019-07-05 03:29:01
FXGL,D43,G6TYV02NN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000620,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:30:29,2019-07-05 03:31:09
FXGL,D43,G6TYV02PN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000621,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:28:43,2019-07-05 03:29:39
FXGL,D43,G6TYV02QN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000622,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:29:24,2019-07-05 03:30:03
FXGL,D43,G6TYV02YN38Q,D43-CRBMINI,D43-CRBMINI_9M9B2,000904,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 10:02:00,2019-07-05 10:02:15
FXGL,D43,G6TYV02ZN39M,D43-CRBMINI,D43-CRBMINI_7M5B2,000631,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:31:36,2019-07-05 03:32:06
FXGL,D43,G6TYV03GN394,D43-CRBMINI,D43-CRBMINI_8M18W2,001464,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:31:12,2019-07-05 01:31:25
FXGL,D43,G6TYV040N3FG,D43-CRBMINI,D43-CRBMINI_7M12B1,001121,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:19:50,2019-07-05 00:20:01
FXGL,D43,G6TYW004N38X,D43-CRB,D43-CRB_8Q1B,004924,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 08:38:26,2019-07-05 08:38:36
FXGL,D43,G6TYW004N38X,D43-CRB,D43-CRB_8Q1B,004924,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 08:38:59,2019-07-05 08:39:05
FXGL,D43,G6TYW006N39P,D43-CRB,D43-CRB_7G5R,003416,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:18:11,2019-07-05 04:18:22
FXGL,D43,G6TYW008N39K,D43-CRB,D43-CRB_7G27G3,005519,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:32:37,2019-07-05 03:32:59
FXGL,D43,G6TYW009N39P,D43-CRB,D43-CRB_7G5R,003419,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:50:19,2019-07-05 21:50:30
FXGL,D43,G6TYW00FN39X,D43-CRB,D43-CRB_7G19G3,004656,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:15:00,2019-07-05 04:15:11
FXGL,D43,G6TYW00MN38M,D43-CRB,D43-CRB_9G30R,005406,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:49:58,2019-07-05 21:50:10
FXGL,D43,G6TYW00MN39P,D43-CRB,D43-CRB_7G5R,003431,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:52:48,2019-07-05 21:52:59
FXGL,D43,G6TYW00QN39P,D43-CRB,D43-CRB_7G5R,003434,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:50:06,2019-07-05 21:50:17
FXGL,D43,G6TYW00QN39X,D43-CRB,D43-CRB_7G19G3,004647,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 05:37:30,2019-07-05 05:37:58
FXGL,D43,G6TYW00QN39X,D43-CRB,D43-CRB_7G19G3,004647,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 05:46:08,2019-07-05 05:46:21
FXGL,D43,G6TYW00QN39X,D43-CRB,D43-CRB_7G19G3,004647,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 05:52:19,2019-07-05 05:52:26
FXGL,D43,G6TYW00QN39X,D43-CRB,D43-CRB_7G19G3,004647,FXGL_C02-2FT-02_1_LOG-COLLECTION,FAIL,2019-07-05 05:52:44,2019-07-05 05:52:51
FXGL,D43,G6TYW00SN38M,D43-CRB,D43-CRB_9G30R,005401,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:52:10,2019-07-05 21:52:23
FXGL,D43,G6TYW00WN39P,D43-CRB,D43-CRB_7G5R,003440,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:16:46,2019-07-05 21:16:57
FXGL,D43,G6TYW00ZN395,D43-CRB,D43-CRB_8G1R,003263,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 00:19:14,2019-07-05 00:19:26
FXGL,D43,G6TYW00ZN3G9,D43-CRB,D43-CRB_9ZC3B3,002601,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:15:59,2019-07-05 04:16:10
FXGL,D43,G6TYW011N393,D43-CRB,D43-CRB_8Y7B3,002095,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:11:57,2019-07-05 04:12:08
FXGL,D43,G6TYW011N8MR,D43-CRB,D43-CRB_8A1R1,004710,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 09:33:46,2019-07-05 09:34:18
FXGL,D43,G6TYW012N8MR,D43-CRB,D43-CRB_8A1R1,004709,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:12:54,2019-07-05 21:13:05
FXGL,D43,G6TYW014N8MR,D43-CRB,D43-CRB_8A1R1,004707,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 22:07:06,2019-07-05 22:07:17
FXGL,D43,G6TYW016N391,D43-CRB,D43-CRB_8G14G,004903,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 03:14:53,2019-07-05 03:15:03
FXGL,D43,G6TYW01AN391,D43-CRB,D43-CRB_8G14G,004907,FXGL_C02-2F-BIR_1_LOG-COLLECTION,FAIL,2019-07-05 03:26:49,2019-07-05 03:26:53
FXGL,D43,G6TYW01AN391,D43-CRB,D43-CRB_8G14G,004907,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:27:23,2019-07-05 03:28:12
FXGL,D43,G6TYW01BN39K,D43-CRB,D43-CRB_7G27G3,005554,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 01:07:50,2019-07-05 01:08:02
FXGL,D43,G6TYW01FN39K,D43-CRB,D43-CRB_7G27G3,005507,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 09:14:42,2019-07-05 09:15:15
FXGL,D43,G6TYW01GN391,D43-CRB,D43-CRB_8G14G,004913,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:31:29,2019-07-05 03:32:00
FXGL,D43,G6TYW01HN391,D43-CRB,D43-CRB_8G14G,004914,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 04:10:43,2019-07-05 04:10:54
FXGL,D43,G6TYW01HN8ML,D43-CRB,D43-CRB_8A2R1,005466,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 21:40:05,2019-07-05 21:40:17
FXGL,D43,G6TYW01JN391,D43-CRB,D43-CRB_8G14G,004915,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:30:23,2019-07-05 03:31:04
FXGL,D43,G6TYW01MN391,D43-CRB,D43-CRB_8G14G,004918,FXGL_C02-2F-BIR_1_LOG-COLLECTION,PASS,2019-07-05 03:27:11,2019-07-05 03:27:58
FXGL,D43,G6TYW01MN39P,D43-CRB,D43-CRB_7G5R,003465,FXGL_C02-2FT-02_1_LOG-COLLECTION,PASS,2019-07-05 05:22:56,2019-07-05 05:23:07
